name,description,genre
malybuzz,A Python tool focused in discovering programming faults in network software.,fuzzer
mana,A toolkit for rogue access point (evilAP) attacks first presented at Defcon 22.,wireless
mando.me,Web Command Injection Tool.,webapp
manticore,Symbolic execution tool.,binary
manul,"A coverage-guided parallel fuzzer for open-source and blackbox binaries on Windows, Linux and MacOS.",fuzzer
mara-framework,A Mobile Application Reverse engineering and Analysis Framework.,mobile
marc4dasm,This python-based tool is a disassembler for the Atmel MARC4 (a 4 bit Harvard micro).,disassembler
maryam,Full-featured Web Identification framework written in Python.,scanner
maskprocessor,A High-Performance word generator with a per-position configurable charset.,automation
massbleed,SSL Vulnerability Scanner.,recon
masscan,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes",scanner
masscan-automation,Masscan integrated with Shodan API.,automation
massdns,A high-performance DNS stub resolver in C.,networking
massexpconsole,A collection of tools and exploits with a cli ui for mass exploitation.,automation
mat,"Metadata Anonymisation Toolkit composed of a GUI application, a CLI application and a library.",defensive
mat2,"Metadata removal tool, supporting a wide range of commonly used file formats",defensive
matahari,A reverse HTTP shell to execute commands on remote machines behind firewalls.,tunnel
matroschka,Python steganography tool to hide images or text in images.,stego
mausezahn,A free fast traffic generator written in C which allows you to send nearly every possible and impossible packet.,dos
mbenum,Queries the master browser for whatever information it has registered.,windows
mboxgrep,"A small, non-interactive utility that scans mail folders for messages matching regular expressions. It does matching against basic and extended POSIX regular expressions, and reads and writes a variety of mailbox formats.",forensic
mdbtools,Utilities for viewing data and exporting schema from Microsoft Access Database files.,forensic
mdcrack,MD4/MD5/NTLM1 hash cracker,cracker
mdk3,WLAN penetration tool,wireless
mdk4,Proof-of-Concept tool to exploit common IEEE 802.11 protocol weaknesses.,wireless
mdns-recon,An mDNS recon tool written in Python.,recon
meanalyzer,Intel Engine Firmware Analysis Tool.,firmware
medusa,"Speedy, massively parallel and modular login brute-forcer for network",cracker
meg,Fetch many paths for many hosts - without killing the hosts.,webapp
melkor,"An ELF fuzzer that mutates the existing data in an ELF sample given to create orcs (malformed ELFs), however, it does not change values randomly (dumb fuzzing), instead, it fuzzes certain metadata with semi-valid values through the use of fuzzing rules (knowledge base).",fuzzer
memdump,"Dumps system memory to stdout, skipping over holes in memory maps.",forensic
memfetch,Dumps any userspace process memory without affecting its execution.,forensic
memimager,Performs a memory dump using NtSystemDebugControl.,windows
mentalist,Graphical tool for custom wordlist generation.,automation
merlin-server,Merlin is a cross-platform post-exploitation HTTP/2 Command & Control server and agent written in golang.,automation
metabigor,Intelligence Tool but without API key.,recon
metacoretex,MetaCoretex is an entirely JAVA vulnerability scanning framework for databases.,database
metagoofil,An information gathering tool designed for extracting metadata of public documents.,recon
metame,A simple metamorphic code engine for arbitrary executables.,binary
metasploit,"Advanced open-source platform for developing, testing, and using exploit code",exploitation
metasploit-autopwn,db_autopwn plugin of metasploit.,automation
meterssh,"A way to take shellcode, inject it into memory then tunnel whatever port you want to over SSH to mask any type of communications as a normal SSH connection.",backdoor
metoscan,Tool for scanning the HTTP methods supported by a webserver. It works by testing a URL and checking the responses for the different requests.,webapp
mfcuk,MIFARE Classic Universal toolKit.,wireless
mfoc,MiFare Classic Universal toolKit,cracker
mfsniffer,A python script for capturing unencrypted TSO login credentials.,sniffer
mft2csv,Extract $MFT record info and log it to a csv file.,forensic
mftcarver,Carve $MFT records from a chunk of data (for instance a memory dump).,forensic
mftrcrd,Command line $MFT record decoder.,forensic
mftref2name,Resolve file index number to name or vice versa on NTFS.,forensic
mibble,An open-source SNMP MIB parser (or SMI parser) written in Java. It can be used to read SNMP MIB files as well as simple ASN.1 files.,misc
microsploit,"Fast and easy create backdoor office exploitation using module metasploit packet, Microsoft Office, Open Office, Macro attack, Buffer Overflow.",backdoor
middler,A Man in the Middle tool to demonstrate protocol middling attacks.,networking
mikrotik-npk,Python tools for manipulating Mikrotik NPK format.,reversing
mildew,Dotmil subdomain discovery tool that scrapes domains from official DoD website directories and certificate transparency logs.,recon
mimikatz,A little tool to play with Windows security.,windows
mimipenguin,A tool to dump the login password from the current linux user.,forensic
mingsweeper,"A network reconnaissance tool designed to facilitate large address space,high speed node discovery and identification.",windows
minimodem,"A command-line program which decodes (or generates) audio modem tones at any specified baud rate, using various framing protocols.",misc
minimysqlator,A multi-platform application used to audit web sites in order to discover and exploit SQL injection vulnerabilities.,exploitation
miranda-upnp,"A Python-based Universal Plug-N-Play client application designed to discover, query and interact with UPNP devices",exploitation
missidentify,A program to find Win32 applications.,recon
missionplanner,A GroundControl Station for Ardupilot.,drone
mitm,A simple yet effective python3 script to perform DNS spoofing via ARP poisoning.,networking
mitm-relay,Hackish way to intercept and modify non-HTTP protocols through Burp & others.,proxy
mitm6,Pwning IPv4 via IPv6.,scanner
mitmap,A python program to create a fake AP and sniff data.,wireless
mitmap-old,Shell Script for launching a Fake AP with karma functionality and launches ettercap for packet capture and traffic manipulation.,automation
mitmer,A man-in-the-middle and phishing attack tool that steals the victim's credentials of some web services like Facebook.,sniffer
mitmf,A Framework for Man-In-The-Middle attacks written in Python.,exploitation
mitmproxy,SSL-capable man-in-the-middle HTTP proxy,proxy
mkbrutus,Password bruteforcer for MikroTik devices or boxes running RouterOS.,cracker
mkyara,Tool to generate YARA rules based on binary code.,misc
mobiusft,"An open-source forensic framework written in Python/GTK that manages cases and case items, providing an abstract interface for developing extensions.",forensic
mobsf,"An intelligent, all-in-one open source mobile application (Android/iOS) automated pen-testing framework capable of performing static, dynamic analysis and web API testing.",mobile
modscan,A new tool designed to map a SCADA MODBUS TCP based network.,scanner
moloch,"An open source large scale IPv4 full PCAP capturing, indexing and database system.",networking
mongoaudit,A powerful MongoDB auditing and pentesting tool .,scanner
monocle,"A local network host discovery tool. In passive mode, it will listen for ARP request and reply packets. In active mode, it will send ARP requests to the specific IP range. The results are a list of IP and MAC addresses present on the local network.",recon
monsoon,A fast HTTP enumerator that allows you to execute a large number of HTTP requests.,webapp
mooscan,A scanner for Moodle LMS.,webapp
morpheus,Automated Ettercap TCP/IP Hijacking Tool.,automation
morxbook,A password cracking tool written in perl to perform a dictionary-based attack on a specific Facebook user through HTTPS.,cracker
morxbrute,A customizable HTTP dictionary-based password cracking tool written in Perl.,cracker
morxbtcrack,Single Bitcoin private key cracking tool released.,cracker
morxcoinpwn,Mass Bitcoin private keys brute forcing/Take over tool released.,cracker
morxcrack,A cracking tool written in Perl to perform a dictionary-based attack on various hashing algorithm and CMS salted-passwords.,cracker
morxkeyfmt,Read a private key from stdin and output formatted data values.,crypto
morxtraversal,Path Traversal checking tool.,webapp
morxtunel,Network Tunneling using TUN/TAP interfaces over TCP tool.,tunnel
mosca,Static analysis tool to find bugs like a grep unix command.,code-audit
mosquito,XSS exploitation tool - access victims through HTTP proxy.,exploitation
mots,Man on the Side Attack - experimental packet injection and detection.,sniffer
motsa-dns-spoofing,ManOnTheSideAttack-DNS Spoofing.,spoof
mousejack,Wireless mouse/keyboard attack with replay/transmit poc.,wireless
mp3nema,"A tool aimed at analyzing and capturing data that is hidden between frames in an MP3 file or stream, otherwise noted as ""out of band"" data.",forensic
mptcp,A tool for manipulation of raw packets that allows a large number of options.,networking
mptcp-abuse,A collection of tools and resources to explore MPTCP on your network. Initially released at Black Hat USA 2014.,networking
mrsip,SIP-Based Audit and Attack Tool.,voip
mrtparse,A module to read and analyze the MRT format data.,misc
ms-sys,A tool to write Win9x-.. master boot records (mbr) under linux - RTM!,backdoor
msf-mpc,Msfvenom payload creator.,automation
msfdb,Manage the metasploit framework database.,misc
msfenum,A Metasploit auto auxiliary script.,automation
mssqlscan,A small multi-threaded tool that scans for Microsoft SQL Servers.,scanner
msvpwn,Bypass Windows' authentication via binary patching.,windows
mtr,Combines the functionality of traceroute and ping into one tool (CLI version),networking
mtscan,Mikrotik RouterOS wireless scanner.,wireless
mubeng,An incredibly fast proxy checker & IP rotator with ease.,proxy
multiinjector,Automatic SQL injection utility using a lsit of URI addresses to test parameter manipulation.,webapp
multimac,Multiple MACs on an adapter,spoof
multimon-ng,"An sdr decoder, supports pocsag, ufsk, clipfsk, afsk, hapn, fsk, dtmf, zvei.",radio
multiscanner,Modular file scanning/analysis framework.,scanner
multitun,Tunnel arbitrary traffic through an innocuous WebSocket.,tunnel
munin-hashchecker,Online hash checker for Virustotal and other services,defensive
muraena,Almost-transparent reverse proxy to automate phishing and post-phishing activities.,social
mutator,"This project aims to be a wordlist mutator with hormones, which means that some mutations will be applied to the result of the ones that have been already done, resulting in something like: corporation -> C0rp0r4t10n_2012",automation
mwebfp,Mass Web Fingerprinter.,fingerprint
mxtract,Memory Extractor & Analyzer.,forensic
mybff,A Brute Force Framework.,cracker
myjwt,"This cli is for pentesters, CTF players, or dev. You can modify your jwt, sign, inject, etc.",exploitation
mylg,Network Diagnostic Tool.,networking
mysql2sqlite,Converts a mysqldump file into a Sqlite 3 compatible file.,database
n1qlmap,An N1QL exploitation tool.,exploitation
naabu,A fast port scanner written in go with focus on reliability and simplicity.,scanner
nacker,A tool to circumvent 802.1x Network Access Control on a wired LAN.,networking
naft,Network Appliance Forensic Toolkit.,forensic
nasnum,Script to enumerate network attached storages.,recon
nbname,Decodes and displays all NetBIOS name packets it receives on UDP port 137 and more!,windows
nbnspoof,NetBIOS Name Service Spoofer,spoof
nbtenum,A utility for Windows that can be used to enumerate NetBIOS information from one host or a range of hosts.,windows
nbtool,"Some tools for NetBIOS and DNS investigation, attacks, and communication.",networking
nbtscan,Scan networks for NetBIOS name information.,scanner
ncpfs,Allows you to mount volumes of NetWare servers under Linux.,networking
ncrack,High-speed network authentication cracking tool,cracker
necromant,Python Script that search unused Virtual Hosts in Web Servers.,recon
needle,The iOS Security Testing Framework.,mobile
neglected,Facebook CDN Photo Resolver.,recon
neighbor-cache-fingerprinter,An ARP based Operating System version scanner.,fingerprint
nemesis,A command-line network packet crafting and injection utility.,networking
neo-regeorg,"Improved version of reGeorg, HTTP tunneling pivot tool",tunnel
net-creds,Sniffs sensitive data from interface or pcap.,sniffer
netactview,A graphical network connections viewer similar in functionality to netstat.,networking
netattack,Python script to scan and attack wireless networks.,wireless
netbios-share-scanner,This tool could be used to check windows workstations and servers if they have accessible shared resources.,scanner
netbus,NetBus remote administration tool,windows
netcommander,An easy-to-use arp spoofing tool.,spoof
netcon,A network connection establishment and management script.,networking
netdiscover,"An active/passive address reconnaissance tool, mainly developed for those wireless networks without dhcp server, when you are wardriving. It can be also used on hub/switched networks.",recon
netkit-bsd-finger,BSD-finger ported to Linux.,recon
netkit-rusers,Logged in users; Displays who is logged in to machines on local network.,recon
netkit-rwho,Remote who client and server (with Debian patches).,recon
netmap,Can be used to make a graphical representation of the surrounding network.,networking
netmask,Helps determine network masks,recon
netreconn,A collection of network scan/recon tools that are relatively small compared to their larger cousins.,networking
netripper,Smart traffic sniffing for penetration testers.,windows
netscan,"Tcp/Udp/Tor port scanner with: synpacket, connect TCP/UDP and socks5 (tor connection).",scanner
netscan2,Active / passive network scanner.,scanner
netsed,Small and handful utility design to alter the contents of packets forwarded thru network in real time.,networking
netsniff-ng,High performance Linux network sniffer for packet inspection,sniffer
netstumbler,Well-known wireless AP scanner and sniffer.,windows
network-app-stress-tester,Network Application Stress Testing Yammer.,dos
networkmap,Post-exploitation network mapper.,networking
networkminer,"A Network Forensic Analysis Tool for advanced Network Traffic Analysis, sniffer and packet analyzer.",forensic
netzob,"An open source tool for reverse engineering, traffic generation and fuzzing of communication protocols.",reversing
nextnet,Pivot point discovery tool.,networking
nfcutils,Provides a simple 'lsnfc' command that list tags which are in your NFC device field,nfc
nfdump,A set of tools to collect and process netflow data.,networking
nfex,A tool for extracting files from the network in real-time or post-capture from an offline tcpdump pcap savefile.,forensic
nfspy,A Python library for automating the falsification of NFS credentials when mounting an NFS share.,automation
nfsshell,Userland NFS command tool.,automation
ngrep,A grep-like utility that allows you to search for network packets on an interface.,networking
ngrok,"A tunneling, reverse proxy for developing and understanding networked, HTTP services.",tunnel
nield,"A tool to receive notifications from kernel through netlink socket, and generate logs related to interfaces, neighbor cache(ARP,NDP), IP address(IPv4,IPv6), routing, FIB rules, traffic control.",networking
nikto,A web server scanner which performs comprehensive tests against web servers for multiple items,scanner
nili,"Tool for Network Scan, Man in the Middle, Protocol Reverse Engineering and Fuzzing.",scanner
nimbostratus,Tools for fingerprintinging and exploiting Amazon cloud infrastructures.,fingerprint
nipe,A script to make Tor Network your default gateway.,defensive
nipper,Network Infrastructure Parser,networking
nirsoft,Unique collection of small and useful freeware utilities.,windows
nishang,Using PowerShell for Penetration Testing.,windows
njsscan,A static application testing (SAST) tool that can find insecure code patterns in your node.js applications.,code-audit
nkiller2,A TCP exhaustion/stressing tool.,dos
nmap,Utility for network discovery and security auditing,scanner
nmap-parse-output,Converts/manipulates/extracts data from a nmap scan output.,misc
nmbscan,"Tool to scan the shares of a SMB/NetBIOS network, using the NMB/SMB/NetBIOS protocols.",scanner
nohidy,"The system admins best friend, multi platform auditing tool.",recon
nomorexor,Tool to help guess a files 256 byte XOR key by using frequency analysis.,crypto
noriben,"Portable, Simple, Malware Analysis Sandbox.",malware
nosqlattack,Python tool to automate exploit MongoDB server IP on Internet anddisclose the database data by MongoDB default configuration weaknesses and injection attacks.,automation
nosqli,NoSQL scanner and injector.,webapp
nosqli-user-pass-enum,Script to enumerate usernames and passwords from vulnerable web applications running MongoDB.,exploitation
nosqlmap,Automated Mongo database and NoSQL web application exploitation tool,webapp
notspikefile,A Linux based file format fuzzing tool,fuzzer
novahot,A webshell framework for penetration testers.,webapp
nray,Distributed port scanner.,scanner
nsdtool,A netgear switch discovery tool. It contains some extra features like bruteoforce and setting a new password.,networking
nsearch,Minimal script to help find script into the nse database.,misc
nsec3map,A tool to enumerate the resource records of a DNS zone using its DNSSEC NSEC or NSEC3 chain.,scanner
nsec3walker,Enumerates domain names using DNSSEC,recon
nsia,"A website scanner that monitors websites in realtime in order to detect defacements, compliance violations, exploits, sensitive information disclosure and other issues.",scanner
nsntrace,Perform network trace of a single process by using network namespaces.,sniffer
nsoq,A Network Security Tool for packet manipulation that allows a large number of options.,networking
ntds-decode,This application dumps LM and NTLM hashes from active accounts stored in an Active Directory database.,windows
ntdsxtract,Active Directory forensic framework.,forensic
ntfs-file-extractor,Extract files off NTFS.,forensic
ntfs-log-tracker,"This tool can parse $LogFile, $UsnJrnl of NTFS.",forensic
ntlm-challenger,Parse NTLM over HTTP challenge messages.,scanner
ntlm-scanner,A simple python tool based on Impacket that tests servers for various known NTLM vulnerabilities.,scanner
ntlm-theft,A tool for generating multiple types of NTLMv2 hash theft files.,exploitation
ntlmrecon,A tool to enumerate information from NTLM authentication enabled web endpoints.,scanner
ntp-fingerprint,An active fingerprinting utility specifically designed to identify the OS the NTP server is running on.,fingerprint
ntp-ip-enum,Script to pull addresses from a NTP server using the monlist command. Can also output Maltego resultset.,recon
ntpdos,PoC for distributed NTP reflection DoS (CVE-5211),dos
nuclei,A fast tool for configurable targeted scanning based on templates offering massive extensibility and ease of use.,webapp
nuclei-templates,Community curated list of template files for the nuclei engine.,blackarch-scanne
nullinux,"Tool that can be used to enumerate OS information, domain information, shares, directories, and users through SMB null sessions.",recon
nullscan,A modular framework designed to chain and automate security tests.,automation
nxcrypt,NXcrypt - python backdoor framework.,backdoor
o-saft,A tool to show informations about SSL certificate and tests the SSL connection according given list of ciphers and various SSL configurations.,scanner
o365spray,Username enumeration and password spraying tool aimed at Microsoft O365.,cracker
oat,A toolkit that could be used to audit security within Oracle database servers.,fuzzer
obevilion,Another archive cracker created in python , cracking [zip/7z/rar]
obexstress,Script for testing remote OBEX service for some potential vulnerabilities.,bluetooth
obfs4proxy,A pluggable transport proxy written in Go.,proxy
objdump2shellcode,A tool I have found incredibly useful whenever creating custom shellcode.,binary
objection,Instrumented Mobile Pentest Framework.,mobile
oclhashcat,Worlds fastest WPA cracker with dictionary mutation engine.,cracker
ocs,Compact mass scanner for Cisco routers with default telnet/enable passwords.,scanner
office-dde-payloads,"Collection of scripts and templates to generate Office documents embedded with the DDE, macro-less command execution technique.",exploitation
ofp-sniffer,An OpenFlow sniffer to help network troubleshooting in production networks.,sniffer
ohrwurm,A small and simple RTP fuzzer.,fuzzer
okadminfinder,Tool to find admin panels / admin login pages.,webapp
oledump,Analyze OLE files (Compound File Binary Format). These files contain streams of data. This tool allows you to analyze these streams.,binary
ollydbg,A 32-bit assembler-level analysing debugger.,debugger
omen,Ordered Markov ENumerator - Password Guesser.,cracker
omnibus,"OSINT tool for intelligence collection, research and artifact management.",recon
omnihash,"Hash files, strings, input streams and network resources in various common algorithms simultaneously.",crypto
one-lin3r,Gives you one-liners that aids in penetration testing and more.,misc
onesixtyone,An SNMP scanner that sends multiple SNMP requests to multiple IP addresses,cracker
onetwopunch,"Use unicornscan to quickly scan all open ports, and then pass the open ports to nmap for detailed scans.",scanner
onioff,An onion url inspector for inspecting deep web links.,recon
onionscan,Scan Onion Services for Security Issues.,scanner
onionsearch,"Script that scrapes urls on different "".onion"" search engines.",webapp
onionshare,Share a file over Tor Hidden Services anonymously and securely,defensive
open-iscsi,iSCSI userland tools,misc
opendoor,OWASP WEB Directory Scanner.,webapp
openpuff,Yet not another steganography SW.,stego
openscap,Open Source Security Compliance Solution.,automation
openstego,"A tool implemented in Java for generic steganography, with support for password-based encryption of the data.",crypto
opensvp,"A security tool implementing ""attacks"" to be able to the resistance of firewall to protocol level attack.",exploitation
openvas,The OpenVAS scanning Daemon.,scanner
operative,"Framework based on fingerprint action, this tool is used for get information on a website or a enterprise target with multiple modules (Viadeo search,Linkedin search, Reverse email whois, Reverse ip whois, SQL file forensics ...).",fingerprint
ophcrack,Windows password cracker based on rainbow tables,cracker
orakelcrackert,This tool can crack passwords which are encrypted using Oracle's latest SHA1 based password protection algorithm.,windows
origami,Aims at providing a scripting tool to generate and analyze malicious PDF files.,malware
orjail,A more secure way to force programs to exclusively use tor network.,defensive
oscanner,An Oracle assessment framework developed in Java.,fuzzer
osfooler-ng,Prevents remote active/passive OS fingerprinting by tools like nmap or p0f.,defensive
osi.ig,Instagram OSINT Tool gets a range of information from an Instagram account.,social
osint-spy,Performs OSINT scan on email/domain/ip_address/organization.,recon
osinterator,Open Source Toolkit for Open Source Intelligence Gathering.,recon
osrframework,A project focused on providing API and tools to perform more accurate online researches.,recon
osslsigncode,A small tool that implements part of the functionality of the Microsoft tool signtool.exe.,windows
ostinato,"An open-source, cross-platform packet/traffic generator and analyzer with a friendly GUI. It aims to be ""Wireshark in Reverse"" and thus become complementary to Wireshark.",sniffer
osueta,A simple Python script to exploit the OpenSSH User Enumeration Timing Attack.,exploitation
otori,"A python-based toolbox intended to allow useful exploitation of XML external entity (""XXE"") vulnerabilities.",exploitation
outguess,A universal steganographic tool.,crypto
outlook-webapp-brute,Microsoft Outlook WebAPP Brute.,cracker
owabf,Outlook Web Access bruteforcer tool.,cracker
owasp-bywaf,A web application penetration testing framework (WAPTF).,webapp
owasp-zsc,Shellcode/Obfuscate Code Generator.,exploitation
owtf,The Offensive (Web) Testing Framework.,webapp
p0f,Purely passive TCP/IP traffic fingerprinting tool,fingerprint
pack,Password Analysis and Cracking Kit,cracker
packer,tool for creating identical machine images for multiple platforms from a single source configuration,binary
packerid,Script which uses a PEiD database to identify which packer (if any) is being used by a binary.,binary
packet-o-matic,"A real time packet processor. Reads the packet from an input module, match the packet using rules and connection tracking information and then send it to a target module.",networking
packeth,Linux GUI packet generator tool for ethernet,networking
packetq,A tool that provides a basic SQL-frontend to PCAP-files.,networking
packetsender,An open source utility to allow sending and receiving TCP and UDP packets.,networking
packit,"A network auditing tool. Its value is derived from its ability to customize, inject, monitor, and manipulate IP traffic.",networking
pacu,"The AWS exploitation framework, designed for testing the security of Amazon Web Services environments.",exploitation
pacumen,Packet Acumen - Analyse encrypted network traffic and more (side-channel attacks).,crypto
padbuster,Automated script for performing Padding Oracle attacks.,exploitation
pafish,A demonstration tool that employs several techniques to detect sandboxes and analysis environments in the same way as malware families do.,windows
paketto,Advanced TCP/IP Toolkit.,scanner
panhunt,Searches for credit card numbers (PANs) in directories.,scanner
panoptic,A tool that automates the process of search and retrieval of content for common log and config files through LFI vulnerability.,automation
pappy-proxy,An intercepting proxy for web application testing.,webapp
parameth,This tool can be used to brute discover GET and POST parameters.,webapp
parampampam,This tool for brute discover GET and POST parameters.,webapp
paranoic,A simple vulnerability scanner written in Perl.,scanner
paros,"Java-based HTTP/HTTPS proxy for assessing web app vulnerabilities. Supports editing/viewing HTTP messages on-the-fly, spiders, client certificates, proxy-chaining, intelligent scanning for XSS and SQLi, etc.",webapp
parse-evtx,A tool to parse the Windows XML Event Log (EVTX) format.,forensic
parsero,A robots.txt audit tool.,recon
pasco,Examines the contents of Internet Explorer's cache files for forensic purposes,forensic
pass-station,CLI & library to search for default credentials among thousands of Products / Vendors.,misc
passcracking,A little python script for sending hashes to passcracking.com and milw0rm,cracker
passe-partout,Tool to extract RSA and DSA private keys from any process linked with OpenSSL. The target memory is scanned to lookup specific OpenSSL patterns.,cracker
passhunt,Search drives for documents containing passwords.,scanner
passivedns,A network sniffer that logs all DNS server replies for use in a passive DNS setup.,sniffer
pastejacker,Hacking systems with the automation of PasteJacking attacks.,automation
pasv-agrsv,Passive recon / OSINT automation script.,automation
patator,A multi-purpose bruteforcer.,cracker
patchkit,Powerful binary patching from Python.,binary
pathzuzu,Checks for PATH substitution vulnerabilities and logs the commands executed by the vulnerable executables.,exploitation
payloadmask,Web Payload list editor to use techniques to try bypass web application firewall.,webapp
payloadsallthethings,A list of useful payloads and bypass for Web Application Security and Pentest/CTF.,misc
pblind,Little utility to help exploiting blind sql injection vulnerabilities.,exploitation
pbscan,Faster and more efficient stateless SYN scanner and banner grabber due to userland TCP/IP stack usage.,scanner
pcapfex,Packet CAPture Forensic Evidence eXtractor.,networking
pcapfix,Tries to repair your broken pcap and pcapng files.,networking
pcapsipdump,"A tool for dumping SIP sessions (+RTP traffic, if available) to disk in a fashion similar to 'tcpdump -w' (format is exactly the same), but one file per sip session (even if there is thousands of concurrent SIP sessions).",voip
pcapteller,A tool designed for traffic manipulation and replay.,sniffer
pcapxray,"A Network Forensics Tool - To visualize a Packet Capture offline as a Network Diagram including device identification, highlight important communication and file extraction.",forensic
pcileech,"Tool, which uses PCIe hardware devices to read and write from the target system memory.",hardware
pcode2code,VBA p-code decompiler.,decompiler
pcredz,"A tool that extracts credit card numbers, NTLM(DCE-RPC, HTTP, SQL, LDAP, etc), Kerberos (AS-REQ Pre-Auth etype 23), HTTP Basic, SNMP, POP, SMTP, FTP, IMAP, and more from a pcap file or from a live interface.",scanner
pdblaster,Extract PDB file paths from large sample sets of executable files.,forensic
pdf-parser,Parses a PDF document to identify the fundamental elements used in the analyzed file.,forensic
pdfbook-analyzer,Utility for facebook memory forensics.,forensic
pdfcrack,Password recovery tool for PDF-files,cracker
pdfgrab,Tool for searching pdfs withthin google and extracting pdf metadata.,recon
pdfid,Scan a file to look for certain PDF keywords.,forensic
pdfresurrect,A tool aimed at analyzing PDF documents.,forensic
pdfwalker,Frontend to explore the internals of a PDF document with Origami,misc
pdgmail,A password dictionary attack tool that targets windows authentication via the SMB protocol.,cracker
pe-bear,A freeware reversing tool for PE files.,windows
pe-sieve,"Scans a given process. Recognizes and dumps a variety of potentially malicious implants (replaced/injected PEs, shellcodes, hooks, in-memory patches).",windows
peach,A SmartFuzzer that is capable of performing both generation and mutation based fuzzing.,fuzzer
peach-fuzz,Simple vulnerability scanning framework.,fuzzer
peass,Privilege Escalation Awesome Scripts SUITE (with colors).,scanner
peda,Python Exploit Development Assistance for GDB,debugger
peepdf,A Python tool to explore PDF files in order to find out if the file can be harmful or not.,forensic
peepingtom,A tool to take screenshots of websites. Much like eyewitness.,webapp
peframe,Tool to perform static analysis on (portable executable) malware.,malware
pemcrack,Cracks SSL PEM files that hold encrypted private keys. Brute forces or dictionary cracks.,cracker
pemcracker,Tool to crack encrypted PEM files.,cracker
penbox,A Penetration Testing Framework - The Tool With All The Tools.,automation
pencode,Complex payload encoder.,misc
pentbox,A security suite that packs security and stability testing oriented tools for networks and systems.,fuzzer
pentestly,Python and Powershell internal penetration testing framework.,scanner
pentmenu,A bash script for recon and DOS attacks.,automation
pepe,Collect information about email addresses from Pastebin.,social
pepper,An open source script to perform malware static analysis on Portable Executable.,malware
periscope,A PE file inspection tool.,windows
perl-image-exiftool,Reader and rewriter of EXIF informations that supports raw files,forensic
petools,Portable executable (PE) manipulation toolkit.,windows
pev,Command line based tool for PE32/PE32+ file analysis.,forensic
pextractor,A forensics tool that can extract all files from an executable file created by a joiner or similar.,windows
pfff,"Tools and APIs for code analysis, visualization and transformation",code-audit
pftriage,Python tool and library to help analyze files during malware triage and analysis.,malware
pgdbf,Convert XBase / FoxPro databases to PostgreSQL,database
phantap,An 'invisible' network tap aimed at red teams.,networking
phantom-evasion,Antivirus evasion tool written in python.,exploitation
phemail,A python open source phishing email tool that automates the process of sending phishing emails as part of a social engineering test.,social
phishery,An SSL Enabled Basic Auth Credential Harvester with a Word Document Template URL Injector.,backdoor
phishingkithunter,Find phishing kits which use your brand/organization's files and image'.,social
phonesploit,Adb exploiting tools.,mobile
phonia,Advanced toolkits to scan phone numbers using only free resources.,social
phoss,"Sniffer designed to find HTTP, FTP, LDAP, Telnet, IMAP4, VNC and POP3 logins.",cracker
photon,"Incredibly fast crawler which extracts urls, emails, files, website accounts and much more.",webapp
php-findsock-shell,A Findsock Shell implementation in PHP + C.,webapp
php-mt-seed,PHP mt_rand() seed cracker.,cracker
php-rfi-payload-decoder,Decode and analyze RFI payloads developed in PHP.,cracker
php-vulnerability-hunter,An whitebox fuzz testing tool capable of detected several classes of vulnerabilities in PHP web applications.,windows
phpggc,"A library of PHP unserialize() payloads along with a tool to generate them, from command line or programmatically.",webapp
phpsploit,Stealth post-exploitation framework.,webapp
phpstan,PHP Static Analysis Tool - discover bugs in your code without running it.,code-audit
phpstress,A PHP denial of service / stress test for Web Servers running PHP-FPM or PHP-CGI.,dos
phrasendrescher,A modular and multi processing pass phrase cracking tool.,cracker
pidense,Monitor illegal wireless network activities. (Fake Access Points),wireless
pin,A dynamic binary instrumentation tool.,automation
pingcastle,Active Directory scanning tool.,windows
pintool,This tool can be useful for solving some reversing challenges in CTFs events.,reversing
pintool2,Improved version of pintool.,reversing
pip3line,The Swiss army knife of byte manipulation.,crypto
pipal,A password analyser.,cracker
pipeline,Designed to aid in targeted brute force password cracking attacks.,cracker
pirana,Exploitation framework that tests the security of a email content filter.,exploitation
pivotsuite,"A portable, platform independent and powerful network pivoting toolkit.",networking
pixd,Colourful visualization tool for binary files.,binary
pixiewps,Offline bruteforce of the WPS pin exploiting the low or non-existing entropy of some APs,wireless
pixload,Image Payload Creating/Injecting tools.,webapp
pkcrack,A PkZip encryption cracker.,cracker
pkt2flow,A simple utility to classify packets into flows.,networking
plasma,An interactive disassembler for x86/ARM/MIPS. It can generates indented pseudo-code with colored syntax.,disassembler
plcscan,This is a tool written in Python that will scan for PLC devices over s7comm or modbus protocols.,scanner
plecost,Wordpress finger printer Tool.,webapp
plown,A security scanner for Plone CMS.,webapp
plumber,A python implementation of a grep friendly ftrace wrapper.,misc
plutil,Converts .plist files between binary and UTF (editable) text formats.,misc
pmacct,Small set of multi-purpose passive network monitoring tools [NetFlow IPFIX sFlow libpcap BGP BMP IGP Streaming Telemetry].,networking
pmap,"Passively discover, scan, and fingerprint link-local peers by the background noise they generate (i.e. their broadcast and multicast traffic).",windows
pmapper,A tool for quickly evaluating IAM permissions in AWS.,recon
pmcma,"Automated exploitation of invalid memory writes (being them the consequences of an overflow in a writable section, of a missing format string, integer overflow, variable misuse, or any other type of memory corruption).",exploitation
